EVENT_ID,EVENT_TIMESTAMP,EVENT_TYPE,USER_NAME,CLIENT_IP,REPORTED_CLIENT_TYPE,REPORTED_CLIENT_VERSION,FIRST_AUTHENTICATION_FACTOR,SECOND_AUTHENTICATION_FACTOR,IS_SUCCESS,ERROR_CODE,ERROR_MESSAGE,RELATED_EVENT_ID,CONNECTION
2683373065,2023-09-12 12:10:13.708000-07:00,LOGIN,WARLYBARD1,140.182.107.7,JDBC_DRIVER,3.13.27,PASSWORD,,YES,,,0,
2683373069,2023-09-12 12:10:50.249000-07:00,LOGIN,WARLYBARD1,140.182.107.7,JDBC_DRIVER,3.13.27,PASSWORD,,YES,,,0,
2683373581,2023-09-12 12:10:02.458000-07:00,LOGIN,WARLYBARD1,140.182.107.7,JDBC_DRIVER,3.13.27,PASSWORD,,YES,,,0,
2683374085,2023-09-12 12:11:44.462000-07:00,LOGIN,WARLYBARD1,140.182.107.7,JDBC_DRIVER,3.13.27,PASSWORD,,YES,,,0,
10481924,2023-09-12 04:23:08.109000-07:00,LOGIN,SNOWFLAKE,0.0.0.0,JAVASCRIPT_DRIVER,1.6.21,PASSWORD,,YES,,,0,
2683372037,2023-09-12 04:23:43.088000-07:00,LOGIN,WARLYBARD1,140.182.107.7,SNOWFLAKE_UI,20230912072331,PASSWORD,,YES,,,0,
2683372549,2023-09-12 10:00:30.442000-07:00,LOGIN,WARLYBARD1,140.182.107.7,SNOWFLAKE_UI,20230912130026,PASSWORD,,YES,,,0,
2683373577,2023-09-12 11:55:27.966000-07:00,LOGIN,WARLYBARD1,140.182.107.7,SNOWFLAKE_UI,20230912145524,PASSWORD,,YES,,,0,
