CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2023-09-12 04:23:08.974000-07:00,,ORGADMIN,USER,WARLYBARD1,
2023-09-12 04:23:05.654000-07:00,2023-09-12 04:23:42.856000-07:00,ACCOUNTADMIN,USER,SNOWFLAKE,ACCOUNTADMIN
2023-09-12 04:23:05.651000-07:00,,ACCOUNTADMIN,USER,WARLYBARD1,
