CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2023-07-24 07:23:08.873000-07:00,,ACCOUNTADMIN,USER,HDG,
2023-07-24 07:23:08.876000-07:00,2023-07-24 07:24:45.853000-07:00,ACCOUNTADMIN,USER,SNOWFLAKE,ACCOUNTADMIN
2023-07-24 11:34:08.081000-07:00,,DEV_STG_FULL,USER,POTATOFLAP,ACCOUNTADMIN
2023-07-24 07:23:12.524000-07:00,,ORGADMIN,USER,HDG,
2023-07-24 11:33:57.361000-07:00,,PRD_READONLY,USER,POTATOFLAP,ACCOUNTADMIN
