CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-07-24 07:23:09-07:00,,ORGADMIN,Organization administrator can manage organizations and accounts in organizations,,ROLE,
2023-07-24 07:23:08.855000-07:00,,USERADMIN,,,ROLE,
2023-07-24 07:23:08.825000-07:00,,SECURITYADMIN,Security administrator can manage security aspects of the account.,,ROLE,
2023-07-24 07:23:08.841000-07:00,,SYSADMIN,System administrator can create and manage databases and warehouses.,,ROLE,
2023-07-24 11:03:04.344000-07:00,,PRD_READONLY,,ACCOUNTADMIN,ROLE,
2023-07-24 11:02:53.605000-07:00,,DEV_STG_FULL,,ACCOUNTADMIN,ROLE,
2023-07-24 07:23:08.811000-07:00,,ACCOUNTADMIN,Account administrator can manage all aspects of the account.,,ROLE,
2023-07-24 07:23:08.793000-07:00,,PUBLIC,Public role is automatically available to every user in the account.,,ROLE,
