CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-08-25 11:27:59.822000-07:00,2023-08-25 11:31:17.728000-07:00,CREATE FILE FORMAT,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:17.728000-07:00,ROLE
2023-08-25 11:31:22.358000-07:00,2023-08-25 11:37:33.527000-07:00,CREATE FUNCTION,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:37:33.527000-07:00,ROLE
2023-08-25 11:28:01.339000-07:00,2023-08-25 11:28:01.339000-07:00,CREATE VIEW,SCHEMA,TEST,FEM_DEV,TEST,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-24 13:30:28.219000-07:00,2023-08-24 13:30:28.219000-07:00,OWNERSHIP,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-08-25 11:37:34.940000-07:00,2023-08-25 11:37:34.940000-07:00,CREATE VIEW,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 10:52:26.341000-07:00,2023-08-25 10:52:26.341000-07:00,USAGE,SCHEMA,PUBLIC,CRIMSON_DEV,PUBLIC,ROLE,CRIMSON_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:31:21.972000-07:00,2023-08-25 11:37:33.499000-07:00,CREATE VIEW,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:37:33.499000-07:00,ROLE
2023-08-25 09:16:58.439000-07:00,2023-08-25 09:50:59.641000-07:00,CREATE VIEW,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.641000-07:00,ROLE
2023-08-25 11:31:16.155000-07:00,2023-08-25 11:37:32.784000-07:00,USAGE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_READONLY,False,SYSADMIN,2023-08-25 11:37:32.784000-07:00,ROLE
2023-08-25 11:31:23.768000-07:00,2023-08-25 11:37:35.601000-07:00,CREATE EXTERNAL TABLE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_ADMIN,False,SYSADMIN,2023-08-25 11:37:35.601000-07:00,ROLE
2023-08-31 08:00:15.056000-07:00,2023-08-31 08:00:15.056000-07:00,USAGE,SCHEMA,SCHEMA2,DATA,SCHEMA2,ROLE,DATA_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 11:37:35.340000-07:00,2023-08-25 11:37:35.340000-07:00,CREATE SEQUENCE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 10:03:21.353000-07:00,2023-08-25 10:03:21.353000-07:00,CREATE PROCEDURE,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:15.045000-07:00,2023-08-31 08:00:15.045000-07:00,CREATE SEQUENCE,SCHEMA,SCHEMA2,DATA,SCHEMA2,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:37:35.287000-07:00,2023-08-25 11:37:35.287000-07:00,CREATE FUNCTION,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 09:20:55.167000-07:00,2023-08-25 09:50:59.602000-07:00,CREATE TABLE,SCHEMA,INTERNAL,ADMINISTRATIVE,INTERNAL,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.602000-07:00,ROLE
2023-08-25 11:28:52.614000-07:00,2023-08-25 11:31:18.068000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:18.068000-07:00,ROLE
2023-08-25 11:31:23.694000-07:00,2023-08-25 11:37:35.650000-07:00,CREATE STAGE,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_ADMIN,False,SYSADMIN,2023-08-25 11:37:35.650000-07:00,ROLE
2023-08-25 11:28:52.611000-07:00,2023-08-25 11:31:18.073000-07:00,CREATE FILE FORMAT,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:18.073000-07:00,ROLE
2023-08-25 09:20:55.490000-07:00,2023-08-25 09:50:59.603000-07:00,CREATE FUNCTION,SCHEMA,INTERNAL,ADMINISTRATIVE,INTERNAL,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.603000-07:00,ROLE
2023-08-31 08:00:07.821000-07:00,2023-08-31 08:00:07.821000-07:00,OWNERSHIP,SCHEMA,PUBLIC,DATA,PUBLIC,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-08-25 10:03:29.429000-07:00,2023-08-25 10:03:29.429000-07:00,MONITOR,SCHEMA,INTERNAL,ADMINISTRATIVE,INTERNAL,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 10:55:59.822000-07:00,2023-08-25 10:55:59.822000-07:00,CREATE SEQUENCE,SCHEMA,PUBLIC,CRIMSON,PUBLIC,ROLE,CRIMSON_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:37:36.145000-07:00,2023-08-25 11:37:36.145000-07:00,CREATE PIPE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_ADMIN,False,SYSADMIN,,ROLE
